UDI;ProductID;Type;AirTemperatureK;ProcessTemperatureK;RotationalSpeedRPM;TorqueNm;ToolWearMin;MachineFailure;TWF;HDF;PWF;OSF;RNF;EventDate;Site;City;Technician;Criticality;EstimatedCost;Status
33;L47212;L;299;309,4;1419;48,3;91;0;0;0;0;0;0;2024-04-25;Site_B;Abuja;Amina;Medium;2954;Monitoring
34;L47213;L;298,9;309,3;1665;32,5;93;0;0;0;0;0;0;2024-05-23;Site_E;Ibadan;Ngozi;Low;1791;Monitoring
35;M14894;M;298,8;309,1;1559;34,7;95;0;0;0;0;0;0;2025-07-25;Site_C;Kano;Kemi;Medium;4986;Monitoring
36;M14895;M;298,8;309,2;1452;48,6;98;0;0;0;0;0;0;2024-07-21;Site_D;PortHarcourt;Ngozi;Medium;4549;Monitoring
37;M14896;M;298,9;309,2;1581;36,7;101;0;0;0;0;0;0;2025-12-07;Site_C;Kano;Kemi;Low;1648;Monitoring
38;L47217;L;298,8;309,1;1439;39,2;104;0;0;0;0;0;0;2026-02-14;Site_C;Kano;David;Medium;5017;Scheduled
39;H29452;H;298,9;309,2;1379;50,7;106;0;0;0;0;0;0;2025-05-15;Site_D;PortHarcourt;Ngozi;Low;1549;Monitoring
40;L47219;L;298,8;309,1;1350;52,5;111;0;0;0;0;0;0;2025-09-29;Site_E;Ibadan;Kemi;Low;2230;Scheduled
41;L47220;L;298,8;309,1;1362;45,4;113;0;0;0;0;0;0;2024-08-19;Site_D;PortHarcourt;David;Low;1906;Monitoring
42;L47221;L;298,8;309,1;1368;50,8;115;0;0;0;0;0;0;2026-02-01;Site_B;Abuja;David;Medium;2675;Scheduled
43;M14902;M;298,8;309,1;1368;49,1;117;0;0;0;0;0;0;2025-06-11;Site_D;PortHarcourt;Ngozi;Medium;4623;Monitoring
44;H29457;H;298,8;309,2;1372;48,5;120;0;0;0;0;0;0;2025-07-02;Site_D;PortHarcourt;David;Medium;2928;Scheduled
45;M14904;M;298,8;309,1;1472;47,5;125;0;0;0;0;0;0;2025-09-30;Site_D;PortHarcourt;Tunde;Medium;5720;Monitoring
46;L47225;L;298,8;309,1;1489;49,1;128;0;0;0;0;0;0;2025-06-29;Site_F;Enugu;Amina;Medium;3753;Scheduled
47;M14906;M;298,7;309;1843;25,8;130;0;0;0;0;0;0;2025-05-17;Site_A;Lagos;Kemi;Medium;5450;Monitoring
48;L47227;L;298,8;309,1;1418;46,3;133;0;0;0;0;0;0;2024-05-11;Site_F;Enugu;Amina;Low;975;Monitoring
49;H29462;H;298,8;309,2;1425;53,9;135;0;0;0;0;0;0;2024-05-10;Site_E;Ibadan;Zainab;Medium;4195;Scheduled
50;M14909;M;298,9;309,2;1412;44,1;140;0;0;0;0;0;0;2025-12-15;Site_C;Kano;Kemi;Low;1019;Monitoring
51;L47230;L;298,9;309,1;2861;4,6;143;1;0;0;1;0;0;2024-12-15;Site_D;PortHarcourt;Ngozi;Critical;20166;Closed
52;L47231;L;298,9;309,1;1383;54,9;145;0;0;0;0;0;0;2025-10-18;Site_F;Enugu;Zainab;Low;564;Monitoring
53;H29466;H;298,8;309;1497;43,8;147;0;0;0;0;0;0;2025-09-29;Site_A;Lagos;Amina;Medium;3076;Monitoring
54;L47233;L;298,7;309;1565;35,1;152;0;0;0;0;0;0;2024-05-19;Site_E;Ibadan;Kemi;Medium;3305;Monitoring
55;L47234;L;298,7;309;1691;30,1;154;0;0;0;0;0;0;2024-12-05;Site_B;Abuja;Zainab;Medium;4200;Scheduled
56;L47235;L;298,8;309,1;1512;40,7;156;0;0;0;0;0;0;2025-02-07;Site_F;Enugu;Tunde;Low;1569;Scheduled
57;L47236;L;298,8;309,1;1477;42,4;158;0;0;0;0;0;0;2025-01-10;Site_D;PortHarcourt;Ngozi;Medium;5623;Scheduled
58;L47237;L;298,8;309,1;1513;40,3;160;0;0;0;0;0;0;2026-04-12;Site_C;Kano;Amina;Low;1988;Scheduled
59;M14918;M;298,8;309;1661;29,5;162;0;0;0;0;0;0;2025-06-29;Site_B;Abuja;Zainab;Low;1411;Scheduled
60;L47239;L;298,8;309,1;1378;54,4;165;0;0;0;0;0;0;2025-02-24;Site_D;PortHarcourt;Amina;Low;2317;Scheduled
61;L47240;L;298,8;309,1;1393;52,6;167;0;0;0;0;0;0;2025-02-17;Site_E;Ibadan;Ibrahim;Medium;5543;Monitoring
62;M14921;M;298,8;309;1592;38,2;169;0;0;0;0;0;0;2026-03-30;Site_B;Abuja;Fatima;Low;958;Scheduled
63;L47242;L;298,8;309;1829;22,9;172;0;0;0;0;0;0;2025-08-14;Site_D;PortHarcourt;Samuel;Medium;2657;Scheduled
64;M14923;M;298,9;309;1812;25,9;174;0;0;0;0;0;0;2026-03-12;Site_D;PortHarcourt;David;Medium;4158;Scheduled
65;L47244;L;299;309,1;1523;38,6;177;0;0;0;0;0;0;2025-11-05;Site_C;Kano;Chinedu;Low;777;Monitoring
66;L47245;L;299;309,1;1394;45,1;179;0;0;0;0;0;0;2024-10-12;Site_B;Abuja;Zainab;Medium;4070;Monitoring
67;M14926;M;298,9;308,9;1679;28,7;181;0;0;0;0;0;0;2024-06-04;Site_A;Lagos;Samuel;Medium;3100;Monitoring
68;H29481;H;298,8;308,9;1466;44,1;184;0;0;0;0;0;0;2025-10-28;Site_D;PortHarcourt;Fatima;Medium;4497;Scheduled
69;L47248;L;298,8;308,9;1527;32,4;189;0;0;0;0;0;0;2026-01-18;Site_E;Ibadan;David;Low;1867;Scheduled
70;L47249;L;298,9;309;1410;65,7;191;1;0;0;1;1;0;2024-01-12;Site_F;Enugu;David;Critical;16091;Closed
71;M14930;M;298,9;309;1924;22,6;193;0;0;0;0;0;0;2026-04-10;Site_C;Kano;Ibrahim;Medium;3346;Monitoring
72;L47251;L;298,9;309,1;1452;45,5;196;0;0;0;0;0;0;2025-03-14;Site_B;Abuja;David;Low;1756;Monitoring
73;L47252;L;298,9;309,1;1369;44,4;198;0;0;0;0;0;0;2026-01-17;Site_E;Ibadan;David;Low;2191;Scheduled
74;L47253;L;299;309,1;1592;35;200;0;0;0;0;0;0;2025-12-04;Site_E;Ibadan;Ibrahim;Low;1086;Scheduled
75;L47254;L;298,9;309;1601;32,3;202;0;0;0;0;0;0;2025-10-06;Site_A;Lagos;Kemi;Low;2356;Scheduled
76;L47255;L;298,8;308,9;1379;46,7;204;0;0;0;0;0;0;2024-11-05;Site_D;PortHarcourt;Chinedu;Low;2090;Scheduled
77;L47256;L;298,8;308,9;1461;47,9;206;0;0;0;0;0;0;2025-01-07;Site_D;PortHarcourt;Samuel;Medium;4596;Monitoring
78;L47257;L;298,8;308,9;1455;41,3;208;1;1;0;0;0;0;2025-01-07;Site_D;PortHarcourt;Kemi;High;8769;InProgress
79;L47258;L;298,8;308,9;1398;51,5;0;0;0;0;0;0;0;2025-12-15;Site_B;Abuja;Ngozi;Medium;5170;Scheduled
80;L47259;L;298,8;308,9;1402;37,9;2;0;0;0;0;0;0;2024-06-02;Site_F;Enugu;Samuel;Low;659;Scheduled
81;H29494;H;298,8;308,8;1445;49,9;4;0;0;0;0;0;0;2024-04-03;Site_C;Kano;Amina;Medium;3468;Scheduled
82;L47261;L;298,9;308,9;1450;47,5;9;0;0;0;0;0;0;2025-09-05;Site_A;Lagos;Fatima;Medium;3615;Monitoring
83;L47262;L;298,9;308,9;1453;40,8;11;0;0;0;0;0;0;2024-12-17;Site_E;Ibadan;Amina;Low;2324;Scheduled
84;L47263;L;299;309;1469;40,1;13;0;0;0;0;0;0;2025-11-14;Site_F;Enugu;Kemi;Medium;4751;Monitoring
85;L47264;L;298,9;308,9;1422;47,6;15;0;0;0;0;0;0;2026-01-28;Site_B;Abuja;Kemi;Medium;4708;Monitoring
86;M14945;M;299;309;1804;26,8;17;0;0;0;0;0;0;2026-02-10;Site_D;PortHarcourt;David;Medium;5091;Monitoring
87;H29500;H;299;309;1436;43,9;20;0;0;0;0;0;0;2024-05-23;Site_B;Abuja;Chinedu;Medium;4798;Scheduled
88;L47267;L;299;309;1544;31,8;25;0;0;0;0;0;0;2025-09-11;Site_C;Kano;Amina;Medium;5419;Monitoring
89;M14948;M;299;309;1419;45,2;27;0;0;0;0;0;0;2025-03-07;Site_D;PortHarcourt;Ngozi;Medium;5174;Scheduled
90;M14949;M;298,9;308,9;1487;39,5;30;0;0;0;0;0;0;2024-03-22;Site_B;Abuja;Samuel;Medium;4176;Scheduled
91;L47270;L;298,9;308,9;1753;25,8;33;0;0;0;0;0;0;2025-07-08;Site_D;PortHarcourt;Kemi;Medium;4785;Monitoring
92;L47271;L;298,9;308,9;1830;24,9;35;0;0;0;0;0;0;2025-11-04;Site_D;PortHarcourt;Ibrahim;Medium;5384;Scheduled
93;M14952;M;298,9;308,9;1727;27,1;37;0;0;0;0;0;0;2024-07-05;Site_B;Abuja;Zainab;Low;1701;Scheduled
94;L47273;L;299,1;309;1450;43;40;0;0;0;0;0;0;2025-01-13;Site_D;PortHarcourt;David;Medium;2623;Monitoring
95;L47274;L;299;308,9;1622;31,9;42;0;0;0;0;0;0;2024-04-01;Site_F;Enugu;Zainab;Medium;3051;Monitoring
96;M14955;M;299;309;1351;52,2;44;0;0;0;0;0;0;2024-06-06;Site_E;Ibadan;Ngozi;Medium;3263;Monitoring
97;M14956;M;299;309;1575;35,3;47;0;0;0;0;0;0;2025-01-10;Site_F;Enugu;Chinedu;Medium;3044;Scheduled
98;M14957;M;298,9;308,9;1750;29,9;50;0;0;0;0;0;0;2024-06-05;Site_B;Abuja;Amina;Low;560;Scheduled
99;L47278;L;298,9;308,8;1529;32,7;53;0;0;0;0;0;0;2025-02-15;Site_F;Enugu;Amina;Low;2209;Scheduled
100;L47279;L;298,8;308,8;1523;44,4;55;0;0;0;0;0;0;2026-03-14;Site_C;Kano;Samuel;Low;1981;Monitoring
101;L47280;L;298,8;308,9;1852;25;57;0;0;0;0;0;0;2024-11-15;Site_E;Ibadan;Samuel;Medium;3962;Monitoring
102;L47281;L;298,8;308,8;1991;20,7;59;0;0;0;0;0;0;2024-09-06;Site_E;Ibadan;David;Low;879;Scheduled
103;L47282;L;298,8;308,8;1555;40,6;61;0;0;0;0;0;0;2024-01-03;Site_C;Kano;Kemi;Medium;5248;Scheduled
104;M14963;M;298,8;308,8;1441;40,5;63;0;0;0;0;0;0;2024-11-04;Site_A;Lagos;Ngozi;Medium;5259;Scheduled
105;L47284;L;298,8;308,7;1450;43,4;66;0;0;0;0;0;0;2024-07-17;Site_A;Lagos;Tunde;Low;2025;Monitoring
106;L47285;L;298,8;308,7;1591;31,1;68;0;0;0;0;0;0;2026-01-14;Site_E;Ibadan;Ngozi;Medium;2534;Monitoring
107;L47286;L;298,8;308,7;1445;48,5;70;0;0;0;0;0;0;2024-07-17;Site_C;Kano;Amina;Medium;3082;Scheduled
108;M14967;M;298,8;308,8;1497;46,8;72;0;0;0;0;0;0;2025-09-11;Site_E;Ibadan;Ngozi;Medium;4815;Scheduled
109;H29522;H;298,9;308,8;1621;32,7;75;0;0;0;0;0;0;2024-07-30;Site_A;Lagos;Zainab;Low;1313;Scheduled
110;L47289;L;298,9;308,7;1572;34,1;80;0;0;0;0;0;0;2025-10-30;Site_C;Kano;Tunde;Medium;2685;Monitoring
111;L47290;L;298,8;308,6;1872;22,5;82;0;0;0;0;0;0;2024-01-16;Site_D;PortHarcourt;Samuel;Medium;4189;Scheduled
112;H29525;H;298,7;308,6;1499;43,5;84;0;0;0;0;0;0;2025-01-01;Site_B;Abuja;Samuel;Medium;5072;Monitoring
113;M14972;M;298,8;308,7;1498;39,5;89;0;0;0;0;0;0;2025-11-14;Site_C;Kano;Tunde;Medium;4072;Monitoring
114;M14973;M;298,8;308,6;1486;41,9;92;0;0;0;0;0;0;2025-06-22;Site_A;Lagos;Kemi;Medium;4483;Scheduled
115;L47294;L;298,8;308,6;1680;29,4;95;0;0;0;0;0;0;2024-01-01;Site_D;PortHarcourt;Tunde;Low;2492;Monitoring
116;L47295;L;298,8;308,6;1431;45,7;97;0;0;0;0;0;0;2025-12-21;Site_C;Kano;Amina;Low;1743;Scheduled
117;L47296;L;298,9;308,7;1564;34,1;99;0;0;0;0;0;0;2025-08-28;Site_C;Kano;Fatima;Low;1804;Scheduled
118;L47297;L;298,8;308,6;1599;33;101;0;0;0;0;0;0;2025-08-12;Site_A;Lagos;Fatima;Medium;4309;Scheduled
119;M14978;M;298,8;308,6;1707;28,1;103;0;0;0;0;0;0;2024-05-08;Site_F;Enugu;Tunde;Medium;4259;Monitoring
120;L47299;L;298,7;308,5;1467;40,7;106;0;0;0;0;0;0;2025-09-11;Site_D;PortHarcourt;Zainab;Medium;5311;Monitoring
121;L47300;L;298,9;308,7;1433;44,7;108;0;0;0;0;0;0;2025-05-17;Site_F;Enugu;Amina;Medium;4232;Monitoring
122;L47301;L;298,9;308,7;1558;41,2;110;0;0;0;0;0;0;2025-07-04;Site_D;PortHarcourt;Tunde;Medium;3511;Scheduled
123;L47302;L;299;308,8;1310;50,7;112;0;0;0;0;0;0;2025-01-02;Site_E;Ibadan;Ibrahim;Low;2460;Monitoring
124;L47303;L;298,9;308,7;1546;43,4;114;0;0;0;0;0;0;2025-08-17;Site_C;Kano;Samuel;Low;1610;Monitoring
125;L47304;L;298,9;308,7;1727;29,4;116;0;0;0;0;0;0;2025-08-04;Site_C;Kano;Amina;Medium;4976;Scheduled
126;L47305;L;298,9;308,6;1560;32,2;118;0;0;0;0;0;0;2024-08-16;Site_B;Abuja;Tunde;Medium;5740;Monitoring
127;L47306;L;299;308,6;1329;60,5;120;0;0;0;0;0;0;2026-01-11;Site_C;Kano;Ibrahim;Medium;5858;Scheduled
128;L47307;L;298,9;308,6;1413;46,5;122;0;0;0;0;0;0;2024-05-12;Site_B;Abuja;Amina;Medium;4393;Monitoring
129;L47308;L;299;308,6;1587;38,6;124;0;0;0;0;0;0;2024-09-24;Site_A;Lagos;Chinedu;Low;2114;Monitoring
130;L47309;L;298,9;308,5;1559;34,3;126;0;0;0;0;0;0;2026-03-05;Site_C;Kano;Samuel;Medium;2659;Monitoring
131;L47310;L;298,8;308,4;1473;41,1;128;0;0;0;0;0;0;2024-07-19;Site_C;Kano;Fatima;Low;1182;Scheduled
132;L47311;L;298,8;308,4;1737;27,7;130;0;0;0;0;0;0;2024-10-21;Site_F;Enugu;Fatima;Medium;4590;Monitoring
133;M14992;M;298,7;308,4;1441;43,2;132;0;0;0;0;0;0;2024-12-10;Site_E;Ibadan;Zainab;Low;872;Scheduled
134;M14993;M;298,7;308,4;1430;49,6;135;0;0;0;0;0;0;2025-04-03;Site_C;Kano;Tunde;Medium;4612;Monitoring
135;L47314;L;298,8;308,4;1369;53;138;0;0;0;0;0;0;2024-04-10;Site_E;Ibadan;Chinedu;Medium;5292;Monitoring
136;M14995;M;298,8;308,5;1711;28,5;140;0;0;0;0;0;0;2026-03-31;Site_B;Abuja;Ngozi;Low;615;Monitoring
137;H29550;H;298,7;308,5;1420;45,7;143;0;0;0;0;0;0;2024-10-23;Site_A;Lagos;Kemi;Medium;5636;Scheduled
138;L47317;L;298,7;308,6;1297;55,3;148;0;0;0;0;0;0;2024-02-05;Site_D;PortHarcourt;Samuel;Medium;3037;Monitoring
139;H29552;H;298,8;308,6;1449;49,4;150;0;0;0;0;0;0;2025-11-27;Site_E;Ibadan;Amina;Medium;2548;Scheduled
140;L47319;L;298,8;308,6;1268;55,8;155;0;0;0;0;0;0;2024-01-22;Site_E;Ibadan;Kemi;Medium;4994;Monitoring
141;L47320;L;298,8;308,6;1511;36,1;157;0;0;0;0;0;0;2024-04-23;Site_E;Ibadan;Zainab;Low;2488;Monitoring
142;L47321;L;298,7;308,5;1544;35,2;159;0;0;0;0;0;0;2025-05-13;Site_B;Abuja;Fatima;Medium;3000;Scheduled
143;M15002;M;298,6;308,4;1778;28,2;161;0;0;0;0;0;0;2025-05-06;Site_E;Ibadan;Chinedu;Low;1549;Scheduled
144;H29557;H;298,6;308,4;1407;50,5;164;0;0;0;0;0;0;2026-02-23;Site_A;Lagos;Kemi;Low;1323;Scheduled
145;M15004;M;298,6;308,4;1391;42,4;169;0;0;0;0;0;0;2026-01-29;Site_C;Kano;Fatima;Medium;5631;Scheduled
146;L47325;L;298,5;308,4;1513;33,6;172;0;0;0;0;0;0;2025-10-16;Site_A;Lagos;David;Low;727;Monitoring
147;H29560;H;298,5;308,4;1612;36,1;174;0;0;0;0;0;0;2025-06-20;Site_B;Abuja;Ngozi;Medium;5444;Monitoring
148;L47327;L;298,4;308,4;1515;40,1;179;0;0;0;0;0;0;2025-07-08;Site_A;Lagos;Ngozi;Medium;3590;Monitoring
149;M15008;M;298,3;308,3;1379;48;181;0;0;0;0;0;0;2025-06-26;Site_B;Abuja;Tunde;Low;2041;Scheduled
150;L47329;L;298,4;308,3;1473;39,9;184;0;0;0;0;0;0;2025-06-22;Site_D;PortHarcourt;Fatima;Low;872;Scheduled
151;L47330;L;298,4;308,3;1422;42,7;186;0;0;0;0;0;0;2024-12-24;Site_E;Ibadan;Amina;Medium;3796;Monitoring
152;M15011;M;298,4;308,2;1463;37,6;188;0;0;0;0;0;0;2025-02-25;Site_D;PortHarcourt;David;Low;1943;Monitoring
153;M15012;M;298,4;308,2;1584;41;191;0;0;0;0;0;0;2025-09-24;Site_E;Ibadan;Kemi;Medium;4058;Scheduled
154;L47333;L;298,4;308,2;1850;27;194;0;0;0;0;0;0;2024-04-10;Site_C;Kano;Zainab;Medium;3794;Scheduled
155;L47334;L;298,4;308,2;1528;36,2;196;0;0;0;0;0;0;2024-02-13;Site_F;Enugu;Ngozi;Medium;4061;Scheduled
156;H29569;H;298,4;308,2;1987;19,8;198;0;0;0;0;0;0;2025-08-27;Site_C;Kano;Amina;Low;763;Scheduled
157;M15016;M;298,4;308,1;1495;46;203;0;0;0;0;0;0;2024-05-14;Site_D;PortHarcourt;David;Low;2211;Monitoring
158;H29571;H;298,4;308,2;1478;43,5;206;0;0;0;0;0;0;2025-02-22;Site_F;Enugu;Kemi;Medium;2594;Monitoring
159;M15018;M;298,4;308,2;1499;40;211;0;0;0;0;0;0;2025-11-15;Site_C;Kano;Kemi;Medium;3143;Scheduled
160;L47339;L;298,4;308,2;1471;47;214;0;0;0;0;0;0;2024-02-06;Site_E;Ibadan;Fatima;Medium;2990;Scheduled
161;L47340;L;298,4;308,2;1282;60,7;216;1;0;0;0;1;0;2025-10-06;Site_C;Kano;David;High;6670;Closed
162;L47341;L;298,3;308,1;1412;52,3;218;1;0;0;0;1;0;2026-01-03;Site_E;Ibadan;David;High;8464;InProgress
163;L47342;L;298,3;308,1;1586;35,5;0;0;0;0;0;0;0;2025-11-29;Site_D;PortHarcourt;Chinedu;Low;1968;Monitoring
164;M15023;M;298,4;308,2;1468;43,8;2;0;0;0;0;0;0;2025-05-13;Site_E;Ibadan;Samuel;Low;1371;Scheduled
165;M15024;M;298,5;308,3;1440;43,6;5;0;0;0;0;0;0;2024-11-08;Site_D;PortHarcourt;Tunde;Medium;3973;Monitoring
166;L47345;L;298,5;308,4;1733;26;8;0;0;0;0;0;0;2025-10-01;Site_E;Ibadan;Ibrahim;Low;1414;Monitoring
167;H29580;H;298,4;308,2;1612;32,6;10;0;0;0;0;0;0;2025-04-20;Site_C;Kano;Zainab;Medium;5362;Scheduled
168;H29581;H;298,4;308,3;1458;42,9;15;0;0;0;0;0;0;2024-06-30;Site_C;Kano;Tunde;Medium;3601;Scheduled
169;L47348;L;298,4;308,3;1433;62,3;20;1;0;0;1;0;0;2025-09-06;Site_A;Lagos;Zainab;High;11441;InProgress
170;L47349;L;298,4;308,3;1318;59,1;22;0;0;0;0;0;0;2025-10-23;Site_B;Abuja;Tunde;Low;1485;Scheduled
171;M15030;M;298,4;308,2;1610;35;24;0;0;0;0;0;0;2026-03-02;Site_D;PortHarcourt;Amina;Medium;5732;Scheduled
172;L47351;L;298,2;308,1;1462;50,8;27;0;0;0;0;0;0;2024-06-03;Site_E;Ibadan;Ibrahim;Low;2214;Monitoring
173;M15032;M;298,1;308;1924;20,8;29;0;0;0;0;0;0;2025-02-25;Site_E;Ibadan;Fatima;Low;844;Monitoring
174;M15033;M;298,2;308;1591;33,7;32;0;0;0;0;0;0;2024-10-22;Site_B;Abuja;Chinedu;Low;1644;Monitoring
175;L47354;L;298,2;308,1;1306;58,3;35;0;0;0;0;0;0;2024-01-14;Site_E;Ibadan;Amina;Low;1983;Monitoring
176;L47355;L;298,2;308,1;1382;43,5;37;0;0;0;0;0;0;2024-07-07;Site_B;Abuja;Fatima;Low;745;Monitoring
177;L47356;L;298,2;308,1;1618;34,7;39;0;0;0;0;0;0;2024-12-23;Site_F;Enugu;Amina;Medium;4307;Monitoring
178;L47357;L;298,2;308,2;1988;21,4;41;0;0;0;0;0;0;2025-01-10;Site_C;Kano;Ibrahim;Medium;2916;Scheduled
179;L47358;L;298,2;308,2;1436;50,2;43;0;0;0;0;0;0;2024-04-29;Site_F;Enugu;Tunde;Low;695;Scheduled
180;L47359;L;298,2;308,3;1304;49,8;45;0;0;0;0;0;0;2024-10-18;Site_B;Abuja;Zainab;Medium;5453;Monitoring
181;L47360;L;298,2;308,3;1475;49,9;47;0;0;0;0;0;0;2024-09-21;Site_A;Lagos;Ibrahim;Medium;4822;Scheduled
182;H29595;H;298,2;308,3;1824;24,2;49;0;0;0;0;0;0;2024-07-11;Site_C;Kano;Samuel;Low;2139;Scheduled
183;M15042;M;298,1;308,2;1342;48,1;54;0;0;0;0;0;0;2025-02-14;Site_B;Abuja;Chinedu;Medium;5320;Monitoring
184;L47363;L;298,1;308,2;1485;40,7;57;0;0;0;0;0;0;2024-03-22;Site_E;Ibadan;Samuel;Medium;2573;Monitoring
185;L47364;L;298,2;308,2;1667;30,6;59;0;0;0;0;0;0;2024-06-30;Site_B;Abuja;Chinedu;Low;945;Scheduled
186;L47365;L;298,2;308,2;1446;38,2;61;0;0;0;0;0;0;2025-05-13;Site_F;Enugu;Chinedu;Low;2187;Monitoring
187;L47366;L;298,1;308,3;1301;56;63;0;0;0;0;0;0;2025-12-12;Site_D;PortHarcourt;Kemi;Medium;4084;Scheduled
188;L47367;L;298,2;308,4;1379;43,1;65;0;0;0;0;0;0;2025-07-12;Site_F;Enugu;Kemi;Medium;3206;Scheduled
189;L47368;L;298,3;308,5;1606;33,6;67;0;0;0;0;0;0;2025-01-22;Site_F;Enugu;Samuel;Medium;2884;Scheduled
190;M15049;M;298,3;308,4;1539;43,4;69;0;0;0;0;0;0;2026-03-08;Site_F;Enugu;Chinedu;Medium;4422;Scheduled
191;L47370;L;298,2;308,4;1477;49,9;72;0;0;0;0;0;0;2025-12-30;Site_F;Enugu;Kemi;Medium;3158;Monitoring
192;L47371;L;298,2;308,4;1666;34,6;74;0;0;0;0;0;0;2026-04-07;Site_E;Ibadan;Samuel;Low;1990;Scheduled
193;H29606;H;298,2;308,4;1398;51,8;76;0;0;0;0;0;0;2024-05-08;Site_D;PortHarcourt;Ngozi;Medium;4074;Monitoring
